,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
24,27886,1.0,True,Centrum-West,52.38761,4.89188,Private room,2,1,1,12,126.0,2,356,True,0,0,4.94,True,63.0,252.0,0.06,0.1,0.21,4.99,0.0,632.1232876712329
25,28871,1.0,True,Centrum-West,52.36775,4.89092,Private room,2,1,1,4,75.0,2,1825,True,1,8,4.88,False,37.5,150.0,0.06,0.15,0.14,4.99,0.4273972602739726,375.26027397260276
26,29051,1.0,True,Centrum-Oost,52.36584,4.89111,Private room,1,1,1,1,55.0,2,730,True,4,6,4.36,False,55.0,110.0,0.05,0.13,0.17,2.99,0.3863013698630137,275.0
27,44391,0.6699999999999999,False,Centrum-Oost,52.37168,4.91471,Entire home/apt,4,2,2,1,240.0,3,730,True,0,0,4.71,False,60.0,720.0,0.09,0.17,0.29,4.99,0.0,1200.0
28,49552,0.92,True,Centrum-West,52.38028,4.89089,Entire home/apt,3,2,2,5,232.0,3,1125,True,0,8,4.91,False,77.33,696.0,0.1,0.25,0.25,4.99,0.46301369863013697,1162.4657534246576
29,50523,0.58,False,Centrum-West,52.36811,4.88262,Private room,2,1,1,8,118.0,2,365,True,3,3,4.87,False,59.0,236.0,0.06,0.12,0.17,4.99,0.6465753424657534,601.5753424657535
30,55709,0.19000000000000006,False,Centrum-Oost,52.358112,4.897637,Entire home/apt,2,1,1,5,151.0,3,30,True,0,0,4.95,False,75.5,453.0,0.09,0.19,0.24,4.99,0.0027397260273972603,818.6849315068494
31,55868,0.0,False,Zuid,52.35597,4.88512,Entire home/apt,4,2,2,1,149.0,4,21,True,0,0,4.86,False,37.25,596.0,0.06,0.14,0.18,4.99,0.0,749.2191780821918
32,62015,0.8300000000000001,False,Oud-Oost,52.36431,4.93122,Entire home/apt,2,1,1,4,120.0,2,6,True,0,0,4.91,False,60.0,240.0,0.06,0.22,0.2,4.99,0.4246575342465753,600.0
33,80635,0.87,True,Centrum-West,52.37828,4.8944,Private room,1,1,1,1,82.0,3,1125,True,0,0,4.77,True,82.0,246.0,0.05,0.11,0.15,4.99,0.0,409.24657534246575
34,82482,0.94,True,Centrum-West,52.36968,4.88122,Entire home/apt,4,2,2,8,109.0,2,28,True,4,6,4.49,False,27.25,218.0,0.05,0.19,0.18,4.99,0.6191780821917808,577.7260273972603
35,91535,0.9500000000000001,True,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,2,1,1,7,145.0,1,18,True,8,6,4.84,True,72.5,145.0,0.07,0.1,0.16,4.99,0.15342465753424658,687.8082191780821
36,97221,1.0,True,Slotervaart,52.34801,4.83639,Private room,2,1,2,1,64.0,2,8,True,2,4,3.9,False,32.0,128.0,0.05,0.09,0.17,2.99,0.810958904109589,276.43835616438355
37,97476,0.78,False,Zuid,52.35665,4.86363,Entire home/apt,2,1,1,10,115.0,14,30,True,0,0,4.89,False,57.5,1610.0,0.07,0.14,0.18,4.99,0.0,575.0
38,137026,0.14,False,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,4,2,4,11,265.0,2,1125,True,0,0,4.77,False,66.25,530.0,0.13,0.25,0.27,4.99,0.18904109589041096,1328.5205479452054
39,162467,0.46,False,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2,1,1,4,175.0,3,21,True,0,0,4.75,False,87.5,525.0,0.06,0.14,0.19,4.99,0.4328767123287671,761.7123287671233
